Data;pH;Turbidez;CondutividadeEletrica
25/10/2010;6,01;7,87;0,011
26/10/2010;8,31;50;
26/10/2010;4,88;0,9;
26/10/2010;6,17;238;0,018
27/10/2010;7,34;2,82;0,075
27/10/2010;5,89;4,97;0,01
27/10/2010;7,64;6,14;27
28/10/2010;6,21;27,1;0,018
28/10/2010;7,64;17,7;550
28/10/2010;7,38;8,5;
29/10/2010;7,43;20,2;0,055
30/10/2010;5,72;9,52;0,01
01/11/2010;7,8;262;
01/11/2010;7,6;128;
01/11/2010;7,4;13;
01/11/2010;7,3;35;
01/11/2010;6,8;208;
01/11/2010;8,6;184;
01/11/2010;8,4;250;
04/11/2010;6,96;16,9;
04/11/2010;6,68;1,29;
04/11/2010;7,26;1,27;
16/11/2010;7,36;5,81;
16/11/2010;7,49;7,73;
16/11/2010;7,1;5,23;
16/11/2010;6,5;84,5;
16/11/2010;7,1;12,7;
16/11/2010;5,33;1,05;
24/11/2010;7,95;49,2;0,097
25/11/2010;7,54;98,9;0,036
26/11/2010;7,9;262;0,097
27/11/2010;7,8;63,8;0,049
30/11/2010;7,7;102;0,101
01/12/2010;7,03;14,2;
01/12/2010;7,6;17,4;
07/12/2010;7,1;47,2;0,02
20/12/2010;6,98;26,2;
20/12/2010;7,14;1,1;
27/12/2010;6,28;15;
09/02/2011;6,9;25,9;0,036
11/02/2011;7,5;56,2;0,102
22/03/2011;6,9;30,1;5
23/03/2011;6,8;22;5
24/03/2011;6,63;21;
25/03/2011;6,5;104;8
28/03/2011;6,8;19,2;48
06/04/2011;7,4;76,1;54
08/04/2011;7,29;14,8;41
10/04/2011;6,89;106;8
12/04/2011;6,99;62,3;16
13/04/2011;6,9;49,8;27
15/04/2011;5,85;9,46;18
18/04/2011;7,11;15,4;34
15/05/2011;7,33;17,3;138
17/05/2011;7,51;13,3;45
25/06/2011;7,59;13,9;27,8
28/06/2011;7,61;10,7;20
29/06/2011;7,99;10,3;56,6
30/06/2011;8,16;9,18;59,5
02/07/2011;8,08;2;
02/07/2011;8,03;17;61,3
04/07/2011;7,7;10,5;67,6
05/07/2011;8,05;10,9;86,2
09/07/2011;7,13;7,06;143
27/07/2011;6,94;6,24;40
29/07/2011;8,03;14,9;144
30/07/2011;8,04;4,36;0,065
01/08/2011;7,57;6,5;63
02/08/2011;8,22;15,9;96
02/08/2011;6,67;6,6;0,008
03/08/2011;6,91;9,56;0,009
04/08/2011;7,59;3,47;45
04/08/2011;6,52;5,96;0,006
05/08/2011;7,57;7,92;61
05/08/2011;6,83;12,5;0,01
06/08/2011;6,39;8,98;0,008
11/08/2011;8,2;2,95;0,079
13/08/2011;7,6;5,5;0,007
15/08/2011;7,68;2,74;5
16/08/2011;8,2;0,99;0,005
31/08/2011;7,85;3;
19/09/2011;8,2;3,79;0,056
20/09/2011;8,4;9;0,144
22/09/2011;8,04;15,2;139,7
23/09/2011;7,88;13;106,7
26/09/2011;7,86;10,8;80,8
27/09/2011;7,96;6,67;61,9
28/09/2011;7,59;9,58;47,9
28/09/2011;6,58;8,8;138
29/09/2011;7,55;11,8;14,87
30/09/2011;7,48;12,6;21,82
04/11/2011;7,5;21,5;0,061
05/11/2011;5,7;19;0,01
07/11/2011;5,76;38,8;0,012
08/11/2011;7,4;9,3;0,006
08/11/2011;5,6;10,5;0,01
09/11/2011;7,5;34,1;0,007
09/11/2011;6,01;24,1;0,012
10/11/2011;6,94;13,8;22
10/11/2011;6,21;88,4;0,026
11/11/2011;7,7;45,6;0,01
14/11/2011;8,5;11,2;23
16/11/2011;7,4;33,2;119
16/11/2011;9,3;4,84;0,078
17/11/2011;7,62;38,5;49
21/11/2011;7,56;82,2;28
22/11/2011;7,93;68,4;147
24/11/2011;7,47;22,1;32
24/11/2011;7,3;6,18;
01/02/2012;7,15;22,5;37,1
03/02/2012;7,26;54,3;88,2
24/02/2012;7,52;9,83;71,5
27/02/2012;7,03;12,4;23,8
28/02/2012;7,17;79,5;41,1
01/03/2012;7,26;71,4;42,4
02/03/2012;6,97;49,8;46,6
04/03/2012;7,18;6,76;83,8
05/03/2012;6,98;74,6;63
17/03/2012;7,22;13,1;63
19/03/2012;7,5;216;66
20/03/2012;7,56;107;
20/03/2012;7,05;34,5;0,044
21/03/2012;7,51;31,4;103
21/03/2012;8,3;4,5;0,052
21/03/2012;5,6;42,7;0,01
22/03/2012;8,1;58,7;0,009
22/03/2012;5,61;24,9;0,01
23/03/2012;7,5;19,7;0,005
23/03/2012;6,17;87,9;0,017
24/03/2012;7,37;275;140
24/03/2012;6,05;47,8;0,013
24/03/2012;6,75;77,5;157,7
26/03/2012;7,8;12,8;0,005
26/03/2012;6,84;21,1;0,052
29/03/2012;6,74;22,5;16
23/04/2012;7,53;16;117,6
30/04/2012;7,44;6,48;33,4
17/05/2012;6,67;18,1;24,6
19/05/2012;6,64;8,75;23,6
22/05/2012;6,73;20,2;54,2
23/05/2012;7,19;9,63;67,4
25/05/2012;6,95;;83,4
26/05/2012;6,89;;73
28/05/2012;6,89;;90,2
19/06/2012;7,03;5,1;0,055
21/06/2012;6,98;6,35;29
21/06/2012;5,23;6,51;0,009
22/06/2012;5;5,72;0,007
23/06/2012;5,44;17,4;0,011
25/06/2012;8,15;8,44;229
25/06/2012;5,46;10,9;0,01
26/06/2012;5,14;7,83;0,011
27/06/2012;7,62;12,6;54
28/06/2012;7,87;53,5;131
30/06/2012;6,54;9,36;167,39999
01/07/2012;7,74;12,1;102
01/07/2012;8,4;3,74;0,005
02/07/2012;;8,44;64
03/07/2012;7,3;8,81;42
03/07/2012;9,5;6,2;0,004
05/07/2012;10,9;6,21;0,007
09/07/2012;10,7;4,92;0,066
02/08/2012;7,66;6,29;112,7
06/08/2012;7,8;2,94;37,6
11/08/2012;7,07;7,69;123,7
13/08/2012;7,04;5,58;108
14/08/2012;7,18;7,01;80,5
16/08/2012;7,05;3,67;63,4
17/08/2012;6,87;5,53;62,4
21/08/2012;6,93;4,73;21,79
28/08/2012;7,29;5,24;14,45
18/09/2012;7,75;4,06;0,075
20/09/2012;5,96;4,88;0,009
21/09/2012;5,7;4,23;0,007
22/09/2012;6,2;7,73;0,011
24/09/2012;6,13;6,7;0,01
25/09/2012;5,75;8,18;0,01
28/09/2012;7,25;19,8;150,3
01/10/2012;7,08;4,84;40
04/10/2012;;6,03;255
06/10/2012;9,4;3;0,005
08/10/2012;;12,9;146
08/10/2012;9,3;2,48;0,005
09/10/2012;;7,88;45
10/10/2012;8,1;3,28;0,006
12/10/2012;;7,22;34
13/10/2012;8,7;1,15;0,073
14/10/2012;;10,5;40
23/10/2012;7,75;2,66;49,7
25/10/2012;7,31;9,07;111
30/10/2012;7,01;193;107
07/11/2012;7,24;4,08;82,5
07/11/2012;7,43;9;116
08/11/2012;7,45;12,4;98,5
09/11/2012;7,23;4,45;51,9
11/11/2012;7,04;21,7;30
12/11/2012;7,02;5,88;12,6
13/11/2012;7,15;381;56,2
28/11/2012;6,9;11,1;33
29/11/2012;7,92;156;85,4
01/12/2012;7,5;357;55
03/12/2012;7,1;76,7;102
05/12/2012;;6,72;
05/12/2012;;154;
06/12/2012;9,6;35,6;0,007
07/12/2012;9,3;23,7;0,007
08/12/2012;8,3;82,4;0,01
08/12/2012;8,17;36;0,066
11/12/2012;9,4;2,38;0,068
11/12/2012;6,54;62,5;0,013
12/12/2012;6,37;6,37;0,012
13/12/2012;6,92;306;0,02
14/12/2012;6,71;24,4;0,015
15/12/2012;7,42;136;0,041
07/03/2013;7,45;12,8;120,8
11/03/2013;7,33;10,2;33,6
08/04/2013;7,28;60,6;123,3
09/04/2013;6,98;80;103,7
09/04/2013;7,6;66,4;137
10/04/2013;7,34;985;66,5
11/04/2013;7,15;35,2;109
13/04/2013;7,14;37,3;176,89999
15/04/2013;7,79;530;91,2
15/04/2013;7,44;11,1;52,5
17/04/2013;6,55;7,93;22,7
18/04/2013;7,15;16,3;65,2
19/04/2013;7,15;31,9;56,6
19/04/2013;6,82;24,1;46
20/04/2013;7,23;8,49;81,5
20/04/2013;7,22;58,3;70,4
23/04/2013;7,9;69,4;17,2
06/05/2013;6,3;44;0,0033
06/05/2013;7,04;6,21;0,047
07/05/2013;6,4;44,3;0,0034
07/05/2013;5,77;11,8;0,011
08/05/2013;5,57;5,53;0,008
09/05/2013;6,5;48,5;0,0072
09/05/2013;5,9;31,1;0,014
10/05/2013;5,89;32,4;0,012
11/05/2013;6,12;27,8;0,032
13/05/2013;7,3;42,6;0,0534
06/06/2013;7,43;19,8;102,2
10/06/2013;7,56;4,96;33,9
03/07/2013;7,36;4,07;110,4
04/07/2013;7,37;5,61;84,7
04/07/2013;8,42;13,2;208,5
05/07/2013;7,88;4,14;86,4
06/07/2013;7,54;3,49;60
08/07/2013;7,78;2,29;58,1
10/07/2013;6,39;2,85;17,24
11/07/2013;7,14;2,19;28,6
