valor_coliformes,valor_dbo,valor_fosforo,valor_od,valor_ph,valor_solido,valor_temperatura,valor_turbidez
13850.0,14.5,0.47050000000000003,2.9000000000000004,6.949999999999999,232.5,23.0,23.5
43013.333333333336,13.0,0.6813333333333333,3.6666666666666665,7.033333333333334,253.66666666666666,18.966666666666665,23.713333333333335
18.0,3.0,0.2,4.4,7.3,216.0,25.3,7.9
33000.0,16.0,0.35,3.9,6.3,468.0,30.0,60.0
230.0,8.0,0.23,0.4,6.8,233.0,24.5,132.0
4650.0,12.5,0.4165,4.2,6.6,304.5,24.0,22.0
83.0,24.0,0.7,4.1,7.6,278.0,21.9,13.1
5806.666666666667,15.666666666666666,0.527,3.033333333333333,7.1000000000000005,398.6666666666667,22.333333333333332,23.333333333333332
22000.0,8.0,0.93,7.4,6.4,262.0,24.0,10.0
94000.0,10.0,0.48,2.4,6.8,222.0,26.0,30.0
70000.0,20.0,1.7,4.8,7.2,221.0,26.0,35.0
2667.266666666667,3.6666666666666665,3.6069999999999998,3.5,6.866666666666667,228.33333333333334,21.3,77.03333333333333
1.8,6.0,0.2,1.6,7.0,204.0,22.9,18.9
330000.0,15.0,1.65,7.4,6.2,235.0,21.0,125.0
4550.0,12.5,0.291,1.1500000000000001,6.8,171.5,24.0,75.0
9.2,3.0,0.2,2.7,7.0,183.0,21.8,5.9
4650.0,11.5,0.27,2.8,6.949999999999999,171.0,28.5,31.0
1.8,25.0,0.4,5.3,7.4,211.0,19.0,3.22
3830.0,10.0,0.39975,1.875,7.05,212.75,22.0,58.75
130000.0,12.0,1.6,5.4,7.2,242.0,20.0,25.0
54000.0,9.0,1.25,6.5,7.8,300.0,19.0,30.0
9700.0,8.0,0.245,2.55,6.75,238.0,27.0,89.5
1.8,21.0,0.6,3.0,7.4,260.0,20.5,9.59
79000.0,15.0,0.25,1.3,7.7,235.0,22.0,20.0
11002.25,19.5,0.3,4.85,7.35,234.5,22.5,14.190000000000001
10678.666666666666,20.333333333333332,0.42733333333333334,2.9333333333333336,7.0,249.0,26.933333333333334,13.933333333333332
70000.0,14.0,0.7,5.6,7.8,259.0,21.0,15.0
27005.0,16.5,0.81,4.9,7.45,348.0,28.15,57.15
7350.0,9.0,0.445,4.199999999999999,7.05,239.0,26.0,33.5
5400.666666666667,9.333333333333334,0.6749999999999999,2.9,6.766666666666666,354.6666666666667,21.066666666666666,10.063333333333334
